country,variety,points,price,title,taster_name,description,year
South Africa,Red Blend,86,11,Boekenhoutskloof 2007 The Wolftrap Syrah-Mourvèdre-Viognier Red (Western Cape),Susan Kostrzewa,"This blend of Viognier, Syrah and Mourvedre begins with a spicy but floral nose and is followed by ripe, forward fruit backed by black pepper and spice elements. Interesting and layered, the wine is affordable and ideal for everyday sipping.",2007
South Africa,Viognier,87,30,Backsberg 2005 Babylons Toren Viognier (Paarl),Susan Kostrzewa,"This stylish white offers delicate peach and lemon aromas and a combination of zippy citrus and warming spice on the palate. Approachable but complex, the wine offers power and grace.",2005
France,Grenache,89,26,M. Chapoutier 2001 Domaine de Bila-Haut Vin Doux Naturel Grenache (Rivesaltes),Lauren Buzzeo,"Dark, decadent notes of dried cherry and fig lead the bouquet of this seductive wine, with supporting notes of wood spice, cocoa powder, pressed purple flowers and rum raisin adding depth and character. The medium-weight palate boasts velvety tannins and rich black-fruit flavors that finish full and chocolaty.",2001
US,Chardonnay,87,17,Austerity 2013 Chardonnay (Arroyo Seco),Matt Kettmann,"The oaky smoke is quite powerful on the nose, which also shows vanilla dust and lime juice. The palate is anything but austere, full of toast, caramelized apples and smoked fruits. A line of citrus acidity stops it from becoming flabby, but this is definitely for the oak lovers crowd.",2013
US,White Blend,85,14,Maryhill 2006 Winemaker's White White (Columbia Valley (WA)),Paul Gregutt,"This Chardonnay, Sémillon, Sauvignon Blanc and Viognier blend is a good, all-purpose white wine but lacks focus.",2006
US,Pinot Noir,92,42,Panthea 2012 Klindt Pinot Noir (Anderson Valley),Jim Gordon,"Distinct aromas of cola, cedar and Bing cherry, as well as flavors of mocha and blackcurrants, weave fascinating complexity into this supple, full-bodied wine. The texture feels broad and relaxed, while the acidity and tannins are moderate. A nice viscosity carries its plump appeal through the finish.",2012
Italy,"Corvina, Rondinella, Molinara",91,77,Monte dall'Ora 2007  Amarone della Valpolicella Classico,NA,"This plump, ruby-colored Amarone shows extreme clarity and sharpness thanks to its etched aromas of soya sauce, root beer, toasted cashew and blackberry jam. The best part is that it's a totally drinkable wine without the cloying chewiness you sometimes get with appassimento.",2007
US,Pinot Noir,87,40,Orogeny 2008 Pinot Noir (Green Valley),NA,"A little sharp in acidity and jammy, with cherry, wintergreen and cola flavors. Nice and dry, with a rich coat of sweet smoky oak, but that sharpness persists through the finish.",2008
US,Cabernet Sauvignon,88,20,Cameron Hughes 2007 Lot 287 Cabernet Sauvignon (Napa Valley),NA,"Lots of rich blackberries, cherries and chocolate in this Cab, but it's no mere fruit bomb. It's saved by a fine structure of acids and tannins. Very nice price for a wine this good.",2007
US,Petite Sirah,84,13,The Crusher 2008 Grower's Collection Petite Sirah (Clarksburg),NA,"Tastes fresh and acidic, like a Beaujolais, with jammy blackberries and cherries, and that sharp, tart finish. An everyday red to drink with ham, sausage, paté.",2008
US,Zinfandel,81,12,Estancia 2006 Keyes Canyon Ranches Zinfandel (Paso Robles),NA,"Dull and soft, with vegetal and candied berry flavors.",2006
Argentina,Malbec,81,8,Funky Llama 2011 Malbec (Mendoza),Michael Schachner,"The nonexpressive berry and cherry aromas are closed. Light in feel, this tastes of citrus, plum and rhubarb. The lightweight finish is mildly herbal and green.",2011
US,Zinfandel,86,14,Meeker 1997 Eighth Rack Zinfandel (Sonoma County),Paul Gregutt,"Forward, fruity and clean, with a jokey label showing a moose, an elk and a sheep playing pool. This wine would make a great house Zin if the price were just a tad lower.",1997
US,Pinot Noir,91,56,Papapietro Perry 2012 Peters Vineyard Pinot Noir (Russian River Valley),Virginie Boone,"Ripe and full-bodied, this is a bright and velvety wine, driven aromatically by lush cherry, cola and vanilla. Textured and fleshy, it's a strong statement for the vintage and vineyard. Deliciously drinkable now, it should also do well in the cellar, through 2020.",2012
US,Chardonnay,91,20,De Loach 2012 Chardonnay (Russian River Valley),NA,"Chard freaks will love this California-style version of the variety. It's wonderfully fruity, with ripe pineapples, tangerines and papayas, and a rich, sweet taste, like bananas sautéed in butter and drizzled with honey. The acidity is perfect. Great job for the price, and easy to find, with production of 12,700 cases.",2012
France,Pinot Gris,88,15,Joseph Fritsch 2016 Pinot Gris (Alsace),Anne Krebiehl MW,"An almost creamy wave of pear fruit hits the nose. The palate is equally soft and full fruited, boosted by residual sweetness that makes the fruit fluid and rounded. This is countered by ample zesty freshness that has a pithy slightly bitter edge. The finish is just off dry and clean.",2016
US,White Blend,92,35,Au Bon Climat 2012 Hildegard White (Santa Maria Valley),Matt Kettmann,"Jim Clendenen may be the only West Coast vintner making this blend of 50% Pinot Gris, 40% Pinot Blanc and 10% Aligoté, but more should copy. Aromas of musk melon, orange rose petals, crushed chalk and candied peaches lead into a palate powered by sea salt-laced nectarines, ripe red apples and honeydew, all tied together with proper acidity.",2012
Italy,Nebbiolo,92,NA,La Ganghija 2008  Barbaresco,NA,"Vintner Enzo Rapalino has crafted a luscious, thick Barbaresco with warm wood tones of spice and toasted almond backed by delicious notes of bright berry and wild raspberry. The wine shows firm, determined tannins and a very solid structure for a long aging future.",2008
US,Pinot Noir,90,50,Soléna 2009 Domaine Danielle Laurent Pinot Noir,Paul Gregutt,"Supple and muscular, with appealing bacon fat aromas, this round and spicy effort. A tightness in the midpalate suggests that further bottle age is in order.",2009
France,Sauvignon Blanc,90,NA,Pascal Jolivet 2010 Les Caillottes  (Sancerre),Roger Voss,"Old vines on a single parcel provide the base of this fresh-faced wine. It has an attractive herbaceous and green-fruit character that's laced with a grapefruit note. This has exceptional depth of flavor, and the aftertaste is more steely and flinty.",2010
US,Cabernet Sauvignon,85,17,Cache Creek Vineyards 2007 Cabernet Sauvignon (Lake County),Virginie Boone,"This Cab is minty and leathery, with overwhelming vanilla-y tannins at first—maybe from the time spent in all new American oak—that mellow with opening, giving it a soft mouthfeel.",2007
Austria,St. Laurent,90,34,Steindorfer 2011 Reserve St. Laurent (Burgenland),Roger Voss,"The small quantities of St Laurent produced in Austria show the grape's great potential. This is a very fruity wine with a dry core and fine sense of structure. Full of red fruits, spice and tannin, it's likely to age for 2–4 years.",2011
US,Syrah,92,36,Sol Rouge 2013 Syrah (Red Hills Lake County),Jim Gordon,"This full-bodied and firmly tannic wine from a star winery in Lake County has wood smoke and anise aromas, generous black fruit flavors and a good, grippy texture. That structure will help the wine age well, allowing the rather intense flavors to mellow and evolve. Best after 2021.",2013
South Africa,Merlot,85,10,Indaba 2010 Merlot (Western Cape),Lauren Buzzeo,"An interesting note of sweet smoke graces the nose of this Merlot, adding another layer to the otherwise traditional characteristics of rich black berry and dark plum guts. Round and satisfying in the mouth with approachable tannins and a medium finish.",2010
France,Rosé,86,NA,Château la Tour de l'Evêque 2014 Pétale de Rose Rosé (Côtes de Provence),Roger Voss,"Pale orange-pink in color, this is a lightly fruited wine on the palate. Soft acidity, orange and lime fruits and a smooth, rounded texture all contribute to this open wine.",2014
Spain,Tempranillo,88,44,Baigorri 2007 Reserva  (Rioja),Michael Schachner,"Unusual aromas of blue fruits are matched against cardamom and cumin scents. The palate is blocky yet dominated by acidity, while flavors of plum, black currant and woodspice are exotic. A hard finish shows hickory and barrel flavors along with wiry acidity.",2007
US,Petit Verdot,88,25,"Grands Amis Winery 2008 Private Reserve, Elk Vineyard, Borden Ranch Petit Verdot (Lodi)",Virginie Boone,"Minty at first, and herbal, the way a Cabernet can be, this Petit Verdot from Lodi is juicy and well made with licorice and spice and plenty of tannin structure. Its limp finish could signal the need for a bit more time in the cellar, perhaps 2–5 years.",2008
US,Sauvignon Blanc,80,22,Star Lane Vineyard 2012 Estate Grown Sauvignon Blanc (Happy Canyon of Santa Barbara),NA,There's no oak in this Sauvignon Blanc. It's bone dry and shows crisp acidity. The citrus and gooseberry flavors are green with whiffs of ammonia.,2012
Portugal,Viognier,88,16,Dona Maria-Júlio Bastos 2014 Viognier (Alentejano),Roger Voss,"With apricot and floral perfumes, this is a ripe wine, full in the mouth and with a subtle mix of fresh acidity and rich yellow fruits. It is still a little young and will be better from late 2016.",2014
Italy,Sangiovese Grosso,88,NA,Ridolfi 2004  Brunello di Montalcino,NA,"This Brunello is definitely on the ripe side with meaty aromas of smoked bacon, bresaola, Indian spice, smoke and crushed black pepper. Fruit notes are few and far between and include dried currants and prunes. Despite the wine's chewy boldness, it does offer a much needed blast of tonic freshness on the finish.",2004
France,Bordeaux-style Red Blend,92,135,Le Carré 2012  Saint-Émilion,Roger Voss,"Rounded and rich, this generous, full-bodied wine comes from a single parcel in the heart of Saint-Émilion. Black fruits are structured with dense tannins and a firm tension between ripeness and dryness. The wine is powerful, finishing with pepper and spice. Drink from 2018.",2012
France,Rosé,86,11,Miradou 2011 Miradou Rosé (Côtes de Provence),Roger Voss,"This is attractive, fruity and lightly balanced wine. It has great wild-strawberry flavors that are laced with just the right amount of acidity. The finish is tight and crisp.",2011
Portugal,Portuguese Red,90,27,Quinta do Romeu 2010 Reserva Red (Douro),Roger Voss,"Concentrated tannins give this wine from organic grapes a powerful structure. For balance, it also has a more fruity character that offers blackberry and black plums. The wine's dense texture means it needs to age through late 2014.",2010
Austria,Roter Veltliner,91,52,Arndorfer 2013 Von Den Terrassen 1979 Roter Veltliner (Niederösterreich),Anne Krebiehl MW,"Peaches, red apples and a spray of fresh citrus come together on an earthy, textured and rounded palate that nonetheless is wonderfully light. These old vines give verve, concentration and lots of depth.",2013
Italy,Barbera,91,50,Prunotto 2007 Costamiòle  (Barbera d'Asti Superiore Nizza),NA,"Here is a well crafted and plush Barbera with equal measures of fruit intensity and spicy oak tones of vanilla, smoke and tobacco, The wine is soft and velvety with a long chewy finish. Pair it with spicy lamb curry stewed in coconut milk.",2007
US,Pinot Noir,88,40,Foley 2014 Rancho Santa Rosa Pinot Noir (Sta. Rita Hills),Matt Kettmann,"Heavy sagebrush and chaparral spices meet with cherry fruit and a touch of asphalt on the nose of this bottling. The palate is earthy with loam and juniper flavors, all woven into dark cranberry fruit.",2014
France,Riesling,84,32,Domaine Rieflé-Landmann 2012 Rieflé Bihl Riesling (Alsace),Roger Voss,"This is a single-vineyard wine from Pfaffenheim. Giving a touch of spice as well as delicate acidity, it's light, bright and fruity. Crisp right through and attractively perfumed, it is ready to drink now.",2012
US,Chardonnay,85,14,Knapp 2009 Barrel Reserve Chardonnay (Finger Lakes),Anna Lee C. Iijima,"Sweet pea blossoms and fresh apples make this dry, medium-bodied Chardonnay quite floral on the nose, but the palate is decidedly savory with a pleasantly creamy palate marked by brisk apple flavors, bright acidity and a smoked nut finish.",2009
US,Gewürztraminer,85,25,Breggo 2008 Gewürztraminer (Anderson Valley),NA,"Off-dry, with sugary flavors of apricots, pears, flowers, vanilla and dusty Asian spices. Crisp acidity provides needed balance. Try with Vietnamese, Thai or Burmese fare.",2008
US,Red Blend,89,25,Naggiar 2012 Don Giovanni Estate Red (Sierra Foothills),Jim Gordon,"This is a bold, tannic, very flavorful wine that needs to pair with an epic meat dish. It smells like black cherry and cranberry, tastes almost chocolaty, and feels thick and dense with fine tannins and firm acidity.",2012
South Africa,Red Blend,87,15,Neil Ellis 2009 The Left Bank Red (Western Cape),Lauren Buzzeo,"A blend of 47% Cabernet Sauvignon, 35% Shiraz, 14% Merlot, 3% Cabernet Franc and 1% Malbec, this clean, approachable red offers notes of black plum, cherry, cocoa and spice on the nose and mouth. A peppery heat on the tongue lingers through the medium finish, as do the dusty tannins.",2009
France,Pinot Noir,92,110,Jean-Claude Boisset 2009 Les Charmes Premier Cru  (Chambolle-Musigny),Roger Voss,"This is rich, complex and full of ripe fruit. A firm structure underlies the richness, lending concentration and density. The fruit is still reticent and will show more generously in another year. Age for five years.",2009
France,Chardonnay,84,23,Domaine Carrette 2013 Les Mûres  (Saint-Véran),Roger Voss,"Almond flavors and a touch of bitterness give this wine a hard edge. It has spice, pepper and good acidity, although there is not enough fruit to go around.",2013
France,Malbec-Merlot,88,NA,Château Bovila 2012 Malbec-Merlot (Cahors),Roger Voss,"This perfumed, light wine has ripe fruits along with soft acidity and structure. By blending some Merlot with the Malbec, the producer has softened and broadened the tannins and allowed for attractive juicy red fruits at the end,",2012
Spain,Sparkling Blend,80,27,Oriol Rossell NV Gran Reserva Brut Nature Sparkling (Cava),Michael Schachner,"There's something not right about the way this winery is fermenting its Cavas because both this and Oriol Rossell's regular brut are excessively foamy. As a result, this gran reserva's apple and spice aromas and flavors are rendered moot by the gaseous explosion that occurs when liquid hits palate.",NA
Italy,Sangiovese,91,75,Madonna Nera 2012  Brunello di Montalcino,Kerin O’Keefe,"Plum, blue flower, baking spice and a whiff of French oak lead the nose along with new leather. The juicy palate shows both chewy concentration and finesse, doling out raspberry compote, ripe wild cherry, vanilla, dried rosemary and coffee alongside bright acidity and fine-grained tannins. Drink 2019–2027.",2012
Germany,Riesling,90,18,Dr. Heidemanns-Bergweiler 2015 Bernkasteler Badstube  Kabinett Riesling (Mosel),Anna Lee C. Iijima,"While a tad more slender in frame than many of 2015's single-vineyard Kabinetts, this delicate Riesling offers a zesty punch of sweet-tart tangerine and quince flavors. It's irresistibly thirst quenching, finishing on a salty tang of mineral and lime.",2015
Australia,Shiraz,88,14,Nick Faldo 2005 Shiraz (Coonawarra),NA,"Intense and focused, this good value Coonawarra opens with notes of leather and polished wood overlaid with red-berry fruit. Tannins are smooth, but there's plenty of lip-smacking acidity to keep the cherry cordial and plum fruit flavors lively. Drink now. Imported by Freixenet USA.",2005
US,Chardonnay,92,60,Williams Selyem 2009 Drake Estate Vineyard Chardonnay (Russian River Valley),NA,"A big, rich, flashy Chardonnay that's designed to impress, and does. Almost too much of a good thing, with massive lemondrop candy, pineapple, lime and kiwi fruit flavors, as well as firm minerality and lots of toasty oak. Drink now with opulent fare, such as shellfish.",2009
France,Chardonnay,84,20,Christophe Cordier 2014  Mâcon,Roger Voss,"This wine offers attractive citrus and yellow-fruit flavors. It is fresh, with a richer backdrop of perfumed fruit. The texture brings out the ripeness.",2014
Germany,Riesling,86,21,Darting 2007 Durkheimer Nonnengarten Kabinett Riesling (Pfalz),Joe Czerwinski,"Reasonably sweet (25 g/l residual sugar) but not overly so, this soft, easy-to-drink wine features melon and citrus notes. It's a light style, pretty and attractive at a good price.",2007
NA,White Blend,89,16,Ross-idi 2014 Nikolaevo Unison Chardonnay-Gewürtztraminer White,Jeff Jenssen,"This white blend is comprised of 50% Chardonnay and 50% Gewürztraminer. It has delightful aromas of white flowers, honeysuckle and lime pith and flavors of jasmine, lemongrass and dried rosemary in the mouth. The finish is clean, crisp and refreshing.",2014
US,Cabernet Sauvignon,88,17,Mercer Canyons 2010 Cabernet Sauvignon (Horse Heaven Hills),Paul Gregutt,"A bit of leather and barnyard marks this Cabernet Sauvignon's nose, but it does not mask the plum and black cherry notes. The finish is layered with dark chocolate and espresso flavors.",2010
US,Pinot Noir,84,34,Joseph Jewell 2013 Alderpoint Vineyard Pinot Noir (Humboldt County),Jim Gordon,Aromas and flavors like prunes and strawberry jam make an unusual combination in this full-bodied and uncomplicated wine. It is certainly fruity and generous in personality.,2013
US,Merlot,87,38,Kimmel 2010 Merlot (Mendocino County),Virginie Boone,"Kimmel's Merlot is satisfying in dark cherry, vanilla and a streak of toasted coconut. Its finish is long and textured, and the wine should have a lengthy shelf life of 3–7 years more at least.",2010
Italy,Barbera,86,NA,Cantine Sant'Agata 2014 Baby  (Barbera d'Asti),Kerin O’Keefe,"Fresh and easy drinking, this informal wine opens with aromas of dark cherries, blackberries and a whiff of clove that carry over to the straightforward palate. It's straightforward but well made.",2014
France,Bordeaux-style Red Blend,89,26,Château Roc de Boissac 2012  Puisseguin Saint-Émilion,Roger Voss,The blend of 90% Merlot and 10% Cabernet Franc gives this wine a rich character. It does have a firm edge of tannins still producing a dry character that needs to soften. The juicy black currants are developing well and should balance the tannins in a year or two. Drink this solid wine from 2018.,2012
France,Aligoté,88,17,Manuel Olivier 2010 Vieilles Vignes  (Bourgogne Aligoté),Roger Voss,"With just that extra touch of concentration from old vines, this is a ripe, full and creamy wine, its acidity rounded out and given extra depth from the rich fruits. It has some weight and density at the end.",2010
France,Syrah,85,28,Les Vins de Vienne 2009  Saint-Joseph,Joe Czerwinski,"Round and silky, this is a medium-bodied Saint-Joseph intended for early enjoyment. Blackberry and dusty earth shadings mingle easily on the palate, fading just a bit quickly on the finish.",2009
Chile,Cabernet Sauvignon,88,12,Balduzzi 2012 Reserva Cabernet Sauvignon (Maule Valley),Michael Schachner,"Ripe blackberry aromas carry notes of prune and raisin. For a ripe, dark wine, this is juicy and well balanced. Oaky, toasty flavors lean toward dark fruits and blackberry, and the finish keeps the dark-fruit theme going while folding in bitter coffee notes.",2012
Chile,Merlot,86,8,Calina 2001 Reserve Merlot (Maule Valley),Michael Schachner,"The nose is standard fare as it offers cherry, plum and a hint of herbaceousness. Good plum and berry fruit carries the mouth, while the finish is round and smooth. The wine is balanced and entirely satisfying even if it is basic in its intent. As per usual, Calina delivers a good wine for the price. -M.S.",2001
France,Rhône-style Red Blend,89,51,Tardieu-Laurent 2012 Vieilles Vignes  (Gigondas),Joe Czerwinski,"While some cuvées seem to handle the oak better than others, this wine comes across as full of toasted coconut and vanilla. There's some dark cherry fruit and savory herbs in support, but the oak dominates, albeit it in a popular, user-friendly way.",2012
Argentina,Malbec,90,50,Ruca Malen 2012 Kinien Malbec (Mendoza),Michael Schachner,"This bulky bullish Malbec opens with big tarry aromas that go heavy on the oak. The palate is tannic like the clack-clack of heels on a tile floor. This tastes earthy, oaky and like blackberry, while the finish echoes with those same flavors. Drink through 2023.",2012
Italy,Red Blend,89,50,Zonin 2009  Amarone della Valpolicella,Kerin O’Keefe,"This Amarone is made in a more restrained style. It shows black cherry, raisin and black pepper sensations. While it's not overly complex, it has great fruit and spice flavors, and is perfect to accompany seasoned dishes, like grilled Portobello mushroom steaks.",2009
US,Rhône-style White Blend,89,32,Demetria 2012 Cuvée Papou White (Santa Ynez Valley),Matt Kettmann,"There is a vividly refreshing nose to this biodynamic wine, full of aromatic lift from brisk stone fruit and white rock minerality. It's full on the mouth, nicely balanced with no edges sticking out at all, and just a tad of tart apple on the finish.",2012
Germany,Riesling,89,18,Bischöfliche Weingüter Trier 2015 Dom Off-Dry Riesling (Mosel),Anna Lee C. Iijima,"Hints of lemon shortbread, fresh apple and white flower unfold on the nose of this delicately honeyed wine. On the palate, sweet white-peach and yellow-cherry flavors run just a shade off dry. Easy going and fresh, it finishes long, with a streak of tangerine acidity.",2015
Austria,Grüner Veltliner,90,13,Gruber Röschitz 2016 Grüner Veltliner (Weinviertel),Anne Krebiehl MW,"A subdued nose gives mere hints of ripe, yellow Mirabelle plums. The palate conveys a little more of this lovely fruit on the slender, easy and almost juicy palate. A zesty core and some spritz add to the freshness and verve of this zippy, dry and sprightly wine.",2016
US,Rosé,88,13,Angeline 2016 Rosé (California),Jim Gordon,"Crisp and dry, this bright pink wine is classically styled, showing apple skin aromas and lively grapefruit flavors. Made from Pinot Noir, it's light and appetizing and has a solid, mildly grippy mouthfeel.",2016
Argentina,Cabernet Sauvignon,81,15,Gardel 2012 Cabernet Sauvignon (Mendoza),Michael Schachner,"Jammy, scratchy, oddly spiced aromas set up a drawing, cloying palate feel. Gummy strawberry and raspberry flavors finish short and briny, with a sweet, chocolaty note.",2012
Italy,Moscato,84,15,Mondoro NV Moscato (Asti),NA,"Frothy cream and a thick white mousse cap this bright, sparkling Asti as the wine is poured in the glass. Floral and fruity aromas of jasmine and peach appear on the bouquet and the mouthfeel is silky and easy.",NA
US,Pinot Noir,91,60,Etude 2013 Yamhill Vista Vineyard Pinot Noir,Paul Gregutt,"The storied Carneros producer dips a toe into Oregon with this new release. It's got ample herbal aromatics and bright, brambly berry fruit, with cinnamon-stick highlights. Quite young and tight, it has a few rough edges to be smoothed out with additional bottle age. This will drink best from 2020–2025.",2013
Bulgaria,Mavrud,84,16,Domaine Boyar 2007 Royal Reserve Mavrud (Thracian Valley),Anna Lee C. Iijima,"Earthy on the nose and palate, with prominent mushroom and smoke notes, this is a massively tannic wine, with a hefty serving of pulpy black-fruit flavor. It is full-bodied, with a bit of heat on the finish.",2007
Mexico,Red Blend,88,26,Rincón de Guadalupe 2008 Brisas del Sur Red (San Vicente),Michael Schachner,"Sweet, earthy and dry smelling, with tobacco and savory soy aromas. Tomatoey acids pushing raspberry, plum, vanilla and tobacco flavors. Oak-based vanilla and tomato flavors are also present on the finish, which is fresh and lively. Only 250 cases made.",2008
Argentina,Malbec,91,40,Superuco 2013 Calcáreo Coluvio de Altamira Malbec (San Carlos),Michael Schachner,"Fresh berry and grapy aromas include hints of violet, Graham Cracker and crème de cassis liqueur. In the mouth, this Malbec from the southern reaches of the Uco Valley feels scratchy, with drying tannins. Lightly herbal, floral blueberry and plum flavors are not what you find every day with Malbec, while the finish is grapy but also shows juicy, wiry acidity. Drink through 2021.",2013
US,Sauvignon Blanc,85,12,Purple Star 2013 Sauvignon Blanc (Ancient Lakes),Sean P. Sullivan,"Aromas of citrus, tropical fruit and herb lead to just off-dry flavors with a lightly creamy feel.",2013
Italy,White Blend,93,80,Gravner 2007 Bianco Breg White (Venezia Giulia),Kerin O’Keefe,"Rich and smooth, this amber-colored wine is a blend of Chardonnay, Sauvignon, Pinot Grigio and Riesling Italico. Fermented in amphorae and aged for six years in oak casks, it boasts a fascinating assortment of flavors, ranging from mature apricot to ginger. Its structure and velvety texture make it a perfect mediation wine. Drink through 2022.",2007
US,Merlot,86,12,Tortoise Creek 2012 The Revivalist Merlot (Clarksburg),Jim Gordon,"This medium-bodied wine has aromas that suggest strawberry jam and maple syrup, and equally fruity and ripe flavors. Touches of vanilla and chocolate add a bit of unctuous complexity, and the mouthfeel is velvety.",2012
France,Pinot Noir,85,13,Le Petit Panier 2012 Pinot Noir (Vin de France),Roger Voss,"A warm-climate Pinot Noir, it's very soft and gentle. It is ripe, with good juicy red fruit flavors and a brush of tannin. Drink now.",2012
US,Cabernet Franc,91,28,Dracaena 2013 Cabernet Franc (Paso Robles),Matt Kettmann,"The addition of 15% Petite Sirah takes this bottling to a compelling place, showing barely ripe blackberries, animal fat, smoke, black pepper and a wild clove element on the nose. It's rich and layered on the palate, where chalky tannins support black cherry, grilled beef and mint flavors. This has the bones to last awhile.",2013
Italy,Sauvignon,88,70,Draga 2015 Sauvignon (Collio),Kerin O’Keefe,"Classic varietal aromas of crushed tomato vine, grapefruit and a whiff of aromatic herb take center stage. The grapefruit note carries over to the medium-bodied palate along with honeydew melon and a hint of mineral.",2015
US,Gewürztraminer,93,25,Husch 2014 Estate Bottled Late Harvest Gewürztraminer (Anderson Valley),Jim Gordon,"This sweet and vibrant wine is a rare find. Wonderful floral, grapefruit and honey aromas lead to incredibly concentrated ripe flavors on a lush texture that's lifted by underlying acidity. It's almost irresistible now, but will be best after 2022.",2014
Chile,Red Blend,91,15,Anakena 2008 Ona Red (Rapel Valley),Michael Schachner,"Big and earthy, with char, savory spice and black fruit aromas. The palate is full and bold, with ripe tannins and delicious flavors of herbs, baked berries, integrated spice and leather. Smooth, long and muscular; made from Cabernet Sauvignon, Carmenère and Syrah.",2008
Portugal,Portuguese Red,88,22,Quinta da Romaneira 2010 Sino da Romaneira Red (Douro),Roger Voss,"Earthy yet fruity, this second wine from Romaneira is delicately textured, full of red fruit and soft tannins, and ready to drink. There's a fine flourish of acidity on the finish.",2010
US,White Blend,80,25,Bloomfield 2008 Devil's Daughter White (Contra Costa County),NA,"This Chardonnay-Viognier blend is slightly sweet, with vegetable-infused pineapple flavors.",2008
Italy,Nebbiolo,89,91,Prunotto 2012 Bussia  (Barolo),Kerin O’Keefe,"Red berry, violet, leather and crushed culinary herb aromas unfold in this ripe and rounded wine. The palate offers juicy red cherry, star anise and ground sage flavors alongside solid, seasoned tannins. It's already surprisingly accessible. Drink 2018–2027.",2012
US,Cabernet Sauvignon,88,60,Covington 2011 Klipsun Vineyard Cabernet Sauvignon (Red Mountain),Sean P. Sullivan,"This wine was aged for 30 months in new French oak before subsequently seeing time in bottle. It offers aromas and flavors of herbs, woodspice and red and black fruit, with firm tannins providing the frame.",2011
France,Bordeaux-style Red Blend,91,NA,Château le Prieuré 2010 Barrel sample  (Saint-Émilion),Roger Voss,"90-92 Densely tannic wine, with beautiful perfumes. It is ripe, concentrated, while retaining great charm",2010
US,Chardonnay,87,16,Michael David 2014 Chardonnay (Lodi),Jim Gordon,"The winemaker aged a majority of this wine on the lees in new French oak, and the rest in stainless steel. This combination is easygoing and very fruity in aroma and flavor. The body is medium while the texture is soft and agreeable.",2014
US,Merlot-Cabernet Franc,89,45,Lateral 2013 Merlot-Cabernet Franc (Napa Valley),Virginie Boone,"Made from organically grown grapes, a mix of 66% Merlot and 34% Cabernet Franc, this is a grippy, structured and full-bodied wine, youthfully exuberant in power and oak. Chocolate, black cherry and dried herb inform the flavors and aromas.",2013
US,Meritage,84,50,Koenig Vineyards 2004 Cuvée Alden Private Reserve Red Meritage,Susan Kostrzewa,"An elegant nose of deep spice and fruit leads on this Meritage from the Snake River Valley of Idaho—an emerging region to watch for interesting reds. The wine offers sturdy red fruit, spice and structure, and seems made for hearty fare like grilled steaks or, if you feel like splurging, a kobe burger.",2004
US,Red Blend,85,8,Columbia Crest 2007 Two Vines Vineyard 10 Red Wine Red (Washington),Paul Gregutt,"The red wine companion to the excellent Two Vines Vineyard 10 White has got some stuffing, tannins and chewy, herbal flavors, but the fruit holds its own with flavors of wild plum and rhubarb.",2007
France,Rosé,87,17,Gérard Bertrand 2016 Gris Blanc Rosé (Pays d'Oc),Lauren Buzzeo,"A pale pink color, this starts with dainty, delicate aromas of white cherry and strawberry hull. The palate is similarly light in intensity, with a clean, mouthwatering finish that's immensely refreshing. Drink now.",2016
France,Riesling,88,20,Cave de Ribeauvillé 2012 Vieilles Vignes Réserve Riesling (Alsace),Roger Voss,"Old vines give extra concentration to this rich wine. With fruitiness, a tight texture and the need to age, it has structure and density. Drink from 2015.",2012
Italy,Sparkling Blend,90,81,Bellavista 2002 Gran Cuvée Pas Operé Extra Brut Sparkling (Franciacorta),NA,"This Extra Brut sparkler offers drying mineral tones backed by passion fruit, kiwi, pear and Golden Delicious apple. The aromas are delicate and so are the flavors, although they do linger long on the palate. The wine is cheerful and bright throughout.",2002
Israel,Carignan,90,39,Vitkin 2009 Carignan (Israel),Mike DeSimone,"This deeply colored wine has a nose of raspberry and juniper with a hint of summer farm stand. It is well-balanced in the mouth, offering flavors of blackberry, cherry, green pepper and smoke. Strong tannins coat the palate, while a steadfast note of cherry hangs in through the soft smoky finish.",2009
France,Pinot Blanc,87,NA,Cave de Ribeauvillé 2010 Vendanges Manuelles Collection Pinot Blanc (Alsace),Roger Voss,"Dry, crisp and fruity, this has a light texture, with flavors of crisp grapefruit and green apple. It's intense, bright and fragrant, with its acidity and fruitiness pushing forward.",2010
US,Syrah,87,30,Woodinville Wine Cellars 2007 Syrah (Columbia Valley (WA)),Paul Gregutt,"Tart, juic, and peppery, with blackberry and boysenberry fruit. Though rather herbal and tannic, it displays good balance and moderate concentration.",2007
Spain,Tempranillo,94,62,CVNE 1999 Imperial Gran Reserva  (Rioja),Michael Schachner,"Textbook Rioja gran reserva in every way. It's light and smoky smelling, with brown sugar, fine cologne and cedary aromas. Generous but well-cut in the mouth, with fig, mushroom, raspberry and spiced plum flavors. Fresh on the finish, with light herb flavors and good weight. Drink now through 2018.",1999
US,Zinfandel,87,32,Del Carlo Winery 2010 Old Vine Home Ranch Zinfandel (Dry Creek Valley),NA,"This is an old-style, rustic Zin. It's tannic and high in alcohol, with wild berry jam, currant, spice and heady liqueur flavors. A little pricy, but a sound, robust wine with plenty of forthright character.",2010
